method,num_images,bts_mean,bts_std,bts_median,bts_min,bts_max
ours,3,0.4869104325771332,0.028308792039752007,0.4715450406074524,0.46257731318473816,0.5266088843345642
paste,30,0.23250438272953033,0.059900689870119095,0.20577967166900635,0.1520402580499649,0.35638555884361267
repaint,3,0.5045459866523743,0.025280611589550972,0.48726052045822144,0.4860856831073761,0.5402917265892029
